City,Lat,Lng,Max Temp (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
Cayenne,4.9333,-52.3333,27.27,79,0,1.34,GF,1631415391
Teguise,29.0605,-13.564,21.12,83,0,6.69,ES,1631415392
Cidreira,-30.1811,-50.2056,15.85,83,0,5.12,BR,1631415392
Vila Velha,-20.3297,-40.2925,22.97,94,75,1.03,BR,1631415393
Casper,42.8666,-106.3131,23.34,40,88,4.92,US,1631415394
Saint-Philippe,-21.3585,55.7679,20.77,84,41,7.88,RE,1631415395
Zaysan,47.4667,84.8667,22.35,17,0,2.04,KZ,1631415395
Geraldton,-28.7667,114.6,19.23,42,0,5.66,AU,1631415396
Fairbanks,64.8378,-147.7164,14.0,49,1,0.0,US,1631415218
Kandrian,-6.2167,149.55,29.16,70,83,5.23,PG,1631415397
Kaitangata,-46.2817,169.8464,17.08,52,92,4.23,NZ,1631415398
Boromo,11.75,-2.9333,23.0,95,95,2.35,BF,1631415399
Vestmannaeyjar,63.4427,-20.2734,9.76,76,100,0.72,IS,1631415400
Lüderitz,-26.6481,15.1594,13.27,70,0,4.81,NA,1631415401
Padang,-0.9492,100.3543,28.03,68,52,1.61,ID,1631415401
Khotynets,53.1286,35.3966,17.19,55,100,1.07,RU,1631415402
Laramie,41.3114,-105.5911,18.05,46,40,1.79,US,1631415275
Kaeo,-35.1,173.7833,16.85,70,54,3.66,NZ,1631415403
Aden,12.7794,45.0367,30.02,80,3,5.18,YE,1631415404
Kavieng,-2.5744,150.7967,29.01,68,58,3.01,PG,1631415405
Sakakah,29.9697,40.2064,24.76,37,1,2.28,SA,1631415406
Kalispell,48.1958,-114.3129,15.74,73,86,3.58,US,1631415407
Saint Anthony,45.0205,-93.218,21.07,61,75,1.34,US,1631415407
Gazli,40.1333,63.45,19.75,16,0,4.18,UZ,1631415408
Pochutla,15.7432,-96.4661,24.9,95,100,1.26,MX,1631415409
Ancud,-41.8697,-73.8203,6.74,82,100,8.78,CL,1631415410
Shimanovsk,52.0,127.7,15.25,57,6,3.15,RU,1631415410
Darnah,32.767,22.6367,26.24,60,5,2.22,LY,1631415411
Prymors'k,46.7348,36.3443,18.62,49,100,3.74,UA,1631415412
Griffith,41.5284,-87.4237,27.25,73,1,2.06,US,1631415413
Narsaq,60.9167,-46.05,5.21,74,100,9.98,GL,1631415413
Changji,44.0167,87.3167,21.44,37,0,1.0,CN,1631415414
Bom Sucesso,-21.0331,-44.7581,18.73,79,47,3.21,BR,1631415415
Amoy,24.4798,118.0819,34.03,52,40,3.0,CN,1631415236
Belmonte,-15.8631,-38.8828,24.28,82,6,3.48,BR,1631415416
Petatlán,17.5167,-101.2667,25.69,91,100,0.71,MX,1631415417
Jardim,-21.4803,-56.1381,24.53,53,37,2.01,BR,1631415418
La Tuque,47.4334,-72.7824,18.14,68,100,3.09,CA,1631415419
Sukumo,32.9333,132.7333,23.07,98,100,2.07,JP,1631415419
Maniitsoq,65.4167,-52.9,3.52,42,88,4.66,GL,1631415420
Pisco,-13.7,-76.2167,15.57,88,40,5.66,PE,1631415421
Saint-Augustin,51.226,-58.6502,11.1,71,85,6.23,CA,1631415421
Qujing,25.4833,103.7833,23.08,52,0,2.46,CN,1631415422
Rockingham,42.9668,-71.0995,19.44,81,0,3.19,US,1631415423
Hailar,49.2,119.7,12.6,68,100,4.13,CN,1631415424
Kiryat Gat,31.61,34.7642,23.38,60,81,2.2,IL,1631415424
Kirensk,57.7853,108.1119,8.25,92,100,1.68,RU,1631415425
Te Anau,-45.4167,167.7167,9.83,96,100,2.39,NZ,1631415426
Dhanwār,24.4167,85.9833,28.37,72,100,2.53,IN,1631415427
Pitimbu,-7.4706,-34.8086,23.33,83,56,4.76,BR,1631415428
Teknāf,20.8624,92.3058,27.08,86,100,7.87,BD,1631415429
Popondetta,-8.7537,148.2534,32.13,50,78,3.16,PG,1631415430
Moindou,-21.6924,165.677,24.97,52,0,5.2,NC,1631415430
Natal,-5.795,-35.2094,25.12,83,20,3.09,BR,1631415223
Grand Gaube,-20.0064,57.6608,22.43,71,1,3.13,MU,1631415432
Itapecerica,-20.4725,-45.1256,21.31,66,46,4.48,BR,1631415433
Hithadhoo,-0.6,73.0833,28.16,70,23,4.39,MV,1631415433
Arraial do Cabo,-22.9661,-42.0278,21.6,91,92,3.33,BR,1631415434
Constitución,-35.3333,-72.4167,10.89,90,99,4.77,CL,1631415435
Tara,56.8944,74.371,4.71,97,100,5.82,RU,1631415435
Margate,51.3813,1.3862,15.17,77,85,0.89,GB,1631415221
Nantucket,41.2835,-70.0995,21.11,82,19,7.64,US,1631415437
Levokumskoye,44.8219,44.6606,16.62,67,100,4.86,RU,1631415437
Jiuquan,39.7432,98.5174,21.52,28,100,4.02,CN,1631415438
Hobyo,5.3505,48.5268,25.14,86,78,8.4,SO,1631415439
Puerto Madryn,-42.7692,-65.0385,15.32,67,100,12.96,AR,1631415239
Sunnyside,46.3237,-120.0087,23.32,56,79,2.36,US,1631415165
Tabou,4.423,-7.3528,25.27,87,100,2.39,CI,1631415441
Boende,-0.2167,20.8667,21.0,99,98,0.73,CD,1631415442
Kefar Shemaryahu,32.1856,34.8219,23.99,71,99,2.99,IL,1631415443
Leningradskiy,69.3833,178.4167,-1.79,92,100,9.82,RU,1631415444
Klyuchi,52.2667,79.1667,11.03,54,49,6.99,RU,1631415444
Minden,52.2833,8.9167,18.32,94,99,2.06,DE,1631415445
Mount Isa,-20.7333,139.5,33.87,14,40,3.6,AU,1631415446
Vao,-22.6667,167.4833,19.99,62,6,5.83,NC,1631415447
Zhigansk,66.7697,123.3711,12.42,50,96,4.86,RU,1631415333
Barinas,8.6226,-70.2075,25.83,91,97,1.95,VE,1631415448
Krasnoarmeysk,51.0239,45.6969,13.93,50,50,2.26,RU,1631415449
Batagay-Alyta,67.8006,130.4114,15.11,35,69,1.18,RU,1631415450
Assiut,27.181,31.1837,23.1,57,0,4.1,EG,1631415450
Sangar,63.9242,127.4739,14.07,43,44,2.65,RU,1631415451
Gbadolite,4.2833,21.0167,20.34,97,70,0.57,CD,1631415452
Porto-Novo,6.4965,2.6036,25.9,92,97,1.82,BJ,1631415259
Mitchell,43.7094,-98.0298,20.62,57,74,2.24,US,1631415453
Broken Hill,-31.95,141.4333,16.84,42,29,8.75,AU,1631415454
Broadstairs,51.3591,1.4394,15.11,73,83,0.89,GB,1631415455
Wanaka,-44.7,169.15,8.39,90,97,5.47,NZ,1631415455
Sri Aman,1.2376,111.4621,30.03,74,40,1.54,MY,1631415456
Płońsk,52.6235,20.3755,17.84,94,9,2.84,PL,1631415457
Acapulco de Juárez,16.8634,-99.8901,25.81,87,100,0.49,MX,1631415457
Lucea,18.451,-78.1736,29.36,79,41,3.66,JM,1631415458
Annau,37.8876,58.516,15.72,44,0,1.03,TM,1631415459
Laguna,38.421,-121.4238,31.28,33,1,2.06,US,1631415459
Marabu,4.4148,114.0089,31.08,70,20,2.57,MY,1631415252
Isangel,-19.55,169.2667,26.06,65,75,4.12,VU,1631415461
Sigmaringen,48.0833,9.2167,13.71,96,54,0.77,DE,1631415461
Natchitoches,31.7668,-93.1335,20.66,94,1,0.0,US,1631415462
Chornobay,49.6708,32.3239,15.85,60,100,1.97,UA,1631415463
Nago,26.5881,127.9761,32.04,86,99,8.76,JP,1631415189
Westport,41.1415,-73.3579,22.21,83,1,1.34,US,1631415398
Thompson,55.7435,-97.8558,10.09,66,75,3.09,CA,1631415465
Béboto,8.2668,16.939,21.04,99,100,1.56,TD,1631415466
Goianésia,-15.3175,-49.1175,26.54,21,2,1.3,BR,1631415467
Norman Wells,65.282,-126.8329,15.02,72,75,0.0,CA,1631415467
Arman',59.7,150.1667,10.03,41,69,2.86,RU,1631415469
Plastun,44.7561,136.2939,18.68,53,12,7.54,RU,1631415469
Caçu,-18.5567,-51.1308,25.61,42,93,2.15,BR,1631415470
Batemans Bay,-35.7167,150.1833,23.32,40,25,1.98,AU,1631415471
Hay River,60.8156,-115.7999,13.99,77,75,2.57,CA,1631415472
Miraflores,19.2167,-98.8083,16.36,93,100,0.98,MX,1631415473
North Highlands,38.6857,-121.3722,31.15,34,1,0.0,US,1631415473
Estelle,29.8458,-90.1067,27.22,73,0,0.89,US,1631415474
San Patricio,28.017,-97.5169,29.35,71,6,5.09,US,1631415475
Havelock,34.8791,-76.9013,22.75,93,0,1.11,US,1631415476
Rørvik,64.8621,11.2373,11.7,82,100,6.96,NO,1631415476
Sabzawār,36.2126,57.6819,20.53,30,0,3.76,IR,1631415477
Gambo,4.6482,22.2633,19.1,99,66,0.38,CF,1631415478
Trat,12.5,102.5,28.11,94,100,0.71,TH,1631415478
Kilindoni,-7.9139,39.6668,24.72,76,47,7.36,TZ,1631415479
Genhe,50.7833,121.5167,15.52,49,94,2.12,CN,1631415480
Santa Barbara,34.7333,-120.0343,20.55,80,1,2.57,US,1631415480
Kumo,10.0447,11.2122,23.19,90,79,3.54,NG,1631415481
Faya,18.3851,42.4509,19.29,51,91,2.43,SA,1631415482
Zeya,53.75,127.2667,17.2,46,0,1.29,RU,1631415483
Bodītī,6.9667,37.8667,13.0,88,37,0.91,ET,1631415483
Shakhtinsk,49.71,72.5872,5.31,53,6,6.74,KZ,1631415484
Kommunisticheskiy,61.6789,64.4819,3.6,84,100,5.59,RU,1631415485
Mezen',65.8522,44.24,2.37,89,81,3.37,RU,1631415486
Naze,28.3667,129.4833,28.51,82,100,6.14,JP,1631415486
Goderich,43.7501,-81.7165,22.73,73,73,6.17,CA,1631415487
Loralai,30.3705,68.598,23.26,63,0,0.99,PK,1631415435
Touros,-5.1989,-35.4608,23.5,76,46,6.1,BR,1631415488
Altamont,42.2068,-121.7372,18.76,40,0,3.34,US,1631415489
Ovalle,-30.5983,-71.2003,11.51,73,45,2.22,CL,1631415490
Onalaska,43.8844,-91.2351,22.03,94,89,2.46,US,1631415491
Mikhaylovka,50.06,43.2379,16.93,45,100,2.84,RU,1631415492
Karlstad,59.3793,13.5036,15.31,100,75,3.6,SE,1631415492
Baniachang,24.5167,91.3667,29.66,73,100,1.09,BD,1631415493
Esmeraldas,-19.7625,-44.3139,24.48,43,33,2.49,BR,1631415494
Alyangula,-13.8483,136.4192,29.93,62,75,2.57,AU,1631415494
Ambon City,-3.6954,128.1814,28.08,89,40,2.57,ID,1631415310
Bratsk,56.1325,101.6142,12.27,61,9,4.52,RU,1631415496
Kloulklubed,7.0419,134.2556,28.28,70,100,4.58,PW,1631415496
Hoquiam,46.9809,-123.8893,20.23,1,100,1.22,US,1631415204
Hongjiang,27.11,109.9956,31.39,56,30,2.35,CN,1631415498
Mackay,-21.15,149.2,25.58,73,40,4.63,AU,1631415499
Ørje,59.4802,11.6602,15.76,97,100,2.9,NO,1631415500
Fare,-16.7,-151.0167,25.17,72,36,7.88,PF,1631415502
Ust-Nera,64.5667,143.2,11.53,43,39,1.4,RU,1631415502
Meulaboh,4.1363,96.1285,28.52,70,81,0.49,ID,1631415503
Qingdao,36.0986,120.3719,26.78,74,75,2.0,CN,1631415504
Abū Zabad,12.35,29.25,23.73,84,41,3.01,SD,1631415505
Kozhevnikovo,56.2589,83.9714,8.47,88,74,4.97,RU,1631415506
Havre-St-Pierre,50.2334,-63.5986,11.2,93,1,3.6,CA,1631415506
Abhā,18.2164,42.5053,19.14,64,20,0.0,SA,1631415507
Kardašova Řečice,49.1848,14.8532,14.29,95,26,0.87,CZ,1631415508
Nanchang,28.6833,115.8833,29.97,69,7,5.37,CN,1631415261
Barmstedt,53.7833,9.7667,18.01,94,100,0.45,DE,1631415509
Ambulu,-8.345,113.6058,23.94,93,100,1.1,ID,1631415510
Barstow,34.8986,-117.0228,31.7,23,0,6.88,US,1631415309
Ashtabula,41.7001,-80.7665,22.4,86,16,5.39,US,1631415279
Fort Nelson,58.8053,-122.7002,15.77,55,40,2.57,CA,1631415218
Mataram,-8.5833,116.1167,29.45,93,100,1.08,ID,1631415513
Berlevåg,70.8578,29.0864,5.31,75,97,1.57,NO,1631415513
Biltine,14.5333,20.9167,25.9,60,61,2.59,TD,1631415514
Vanimo,-2.6741,141.3028,30.06,66,59,4.19,PG,1631415515
Vertientes,21.2594,-78.1464,23.63,93,41,3.8,CU,1631415516
Aban,56.67,96.06,10.78,70,100,2.9,RU,1631415517
Huilong,31.8111,121.655,27.24,81,100,9.53,CN,1631415517
Plettenberg Bay,-34.0527,23.3716,14.43,90,99,1.9,ZA,1631415518
Tandaltī,13.0167,31.8667,27.05,67,100,3.03,SD,1631415519
Namatanai,-3.6667,152.4333,28.92,71,100,4.34,PG,1631415294
Novocheremshansk,54.3571,50.1666,7.91,78,67,2.53,RU,1631415520
Richards Bay,-28.783,32.0377,18.1,67,0,7.89,ZA,1631415521
Lázaro Cárdenas,17.9583,-102.2,26.96,86,100,1.86,MX,1631415522
Qasigiannguit,68.8193,-51.1922,-8.85,69,2,1.77,GL,1631415522
Flinders,-34.5833,150.8552,29.56,22,0,6.71,AU,1631415523
Lanzhou,36.0564,103.7922,21.6,51,0,1.7,CN,1631415524
Tegul'det,57.3064,88.1667,11.47,93,99,4.55,RU,1631415524
Nanlong,31.3533,106.0631,25.08,79,96,2.06,CN,1631415525
Wenling,28.3669,121.36,24.31,95,100,5.0,CN,1631415526
Souillac,-20.5167,57.5167,22.42,83,75,7.72,MU,1631415526
Kamaishi,39.2667,141.8833,26.53,62,0,3.18,JP,1631415528
Apostolove,47.66,33.7137,13.2,45,100,2.51,UA,1631415528
Cave Spring,37.2276,-80.0128,19.59,86,0,1.91,US,1631415529
Listvyanka,51.8535,104.8693,11.72,65,0,2.57,RU,1631415530
Birjand,32.8663,59.2211,11.26,30,0,2.06,IR,1631415531
Aswān,24.0934,32.907,24.61,41,0,5.14,EG,1631415255
Isiro,2.7739,27.616,17.87,99,79,0.74,CD,1631415532
Qaqortoq,60.7167,-46.0333,5.01,77,100,8.43,GL,1631415362
Whyalla,-33.0333,137.5833,14.94,55,90,8.75,AU,1631415533
Kabo,7.6994,18.629,20.19,97,95,1.34,CF,1631415534
Bayir,37.2687,28.2167,12.29,41,0,1.35,TR,1631415535
Marakkanam,12.2,79.95,29.19,64,100,6.03,IN,1631415535
Yenagoa,4.9247,6.2642,24.61,94,100,1.8,NG,1631415536
Pueblo Nuevo,23.3833,-105.3833,15.03,60,23,3.32,MX,1631415537
Verāval,20.9,70.3667,27.08,88,100,6.21,IN,1631415538
Kununurra,-15.7667,128.7333,33.99,27,1,2.06,AU,1631415539
Yar-Sale,66.8333,70.8333,6.0,79,100,6.29,RU,1631415539
Tura,25.5198,90.2201,27.09,84,100,1.13,IN,1631415540
Lučenec,48.3325,19.6671,13.14,66,2,1.32,SK,1631415541
Saint-Leu,-21.15,55.2833,20.48,71,3,2.51,RE,1631415542
Fundación,10.5207,-74.185,26.81,83,100,0.73,CO,1631415543
Lavumisa,-27.31,31.892,13.7,85,0,2.61,SZ,1631415543
Umluj,25.0213,37.2685,26.8,73,4,5.8,SA,1631415544
Akhtubinsk,48.2795,46.1722,19.24,31,90,4.82,RU,1631415545
Ostrovnoy,68.0531,39.5131,3.56,83,100,7.26,RU,1631415546
Porlamar,10.958,-63.8491,33.05,62,99,4.12,VE,1631415547
Saint-Paul,-21.0096,55.2707,21.06,74,4,1.02,RE,1631415547
Bariloche,-41.1456,-71.3082,6.86,70,40,5.14,AR,1631415476
Tūkrah,32.5341,20.5791,25.46,90,1,3.29,LY,1631415549
Shirokiy,49.758,129.523,16.42,70,57,3.33,RU,1631415550
Jackson,42.4165,-122.8345,25.53,44,0,1.62,US,1631415551
Ruidoso,33.3317,-105.673,20.64,45,1,3.6,US,1631415552
Kropotkin,45.4375,40.5756,16.61,61,70,3.04,RU,1631415553
Gamba,-2.65,10.0,23.78,84,100,1.44,GA,1631415553
Río Bueno,-40.3167,-72.9667,7.08,97,100,2.64,CL,1631415554
Eureka,40.8021,-124.1637,14.55,81,7,0.45,US,1631415555
Ghazīpur,25.5833,83.5667,28.64,73,93,3.21,IN,1631415556
Gunjur,13.2019,-16.7339,24.04,100,40,0.0,GM,1631415557
Pemangkat,1.1667,108.9667,29.61,67,12,0.23,ID,1631415558
Laas,46.6166,10.7002,13.35,89,22,0.63,IT,1631415559
Mananjary,-21.2167,48.3333,18.55,88,79,0.35,MG,1631415560
Winnemucca,40.973,-117.7357,18.95,28,0,1.75,US,1631415561
Grindavik,63.8424,-22.4338,8.26,81,0,2.06,IS,1631415561
Bojnourd,37.4747,57.329,14.97,41,0,1.03,IR,1631415562
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,23.05,78,78,4.61,CN,1631415563
Sabang,5.8933,95.3214,28.05,75,100,7.77,ID,1631415564
Luga,58.7372,29.8453,11.92,96,97,1.11,RU,1631415565
Abu Samrah,35.3029,37.1841,20.05,78,0,4.22,SY,1631415566
Tupik,54.4253,119.9327,13.05,75,100,2.26,RU,1631415567
Daloa,6.8774,-6.4502,21.63,95,100,0.81,CI,1631415567
Berekum,7.4534,-2.584,21.14,96,97,0.75,GH,1631415568
Itoman,26.1247,127.6694,32.01,66,75,10.29,JP,1631415569
Semikarakorsk,47.5194,40.8112,17.09,58,100,2.81,RU,1631415570
Emba,48.8264,58.1442,9.52,47,0,2.8,KZ,1631415571
Kholtoson,50.2981,103.3097,12.97,65,18,1.64,RU,1631415572
Northam,51.0333,-4.2167,14.05,95,91,1.89,GB,1631415572
Ocho Rios,18.4025,-77.1048,29.86,84,54,4.21,JM,1631415573
Manta,-0.95,-80.7333,22.88,83,75,3.6,EC,1631415574
Katangli,51.7102,143.2326,12.45,66,100,8.32,RU,1631415575
Dongsheng,39.8161,109.9776,24.84,31,22,8.45,CN,1631415575
Hualmay,-11.0964,-77.6139,16.52,87,74,4.54,PE,1631415576
Udachny,66.4167,112.4,12.39,50,84,2.04,RU,1631415577
Kieta,-6.2167,155.6333,30.2,63,63,3.59,PG,1631415578
Zonguldak,41.25,31.8333,10.48,92,0,1.85,TR,1631415579
Khovd,48.0056,91.6419,16.89,21,7,0.89,MN,1631415580
Kuching,1.55,110.3333,31.12,70,20,2.57,MY,1631415580
Grootfontein,-19.5667,18.1167,8.76,61,0,1.03,NA,1631415315
Caravelas,-17.7125,-39.2481,22.95,82,1,3.65,BR,1631415582
Jati,24.3539,68.2671,28.7,75,94,7.25,PK,1631415583
Ucluelet,48.9329,-125.5528,16.14,97,100,0.44,CA,1631415583
Kashgar,39.4547,75.9797,21.56,28,75,1.0,CN,1631415584
Ballina,-28.8667,153.5667,28.21,37,0,4.12,AU,1631415585
Khāsh,28.2211,61.2158,22.26,17,0,0.99,IR,1631415586
Sabinas,27.85,-101.1167,28.51,27,0,4.96,MX,1631415586
Kichera,55.9375,110.0997,8.59,91,99,2.3,RU,1631415587
Bereket,39.2446,55.5154,20.66,18,0,6.43,TM,1631415588
College,64.8569,-147.8028,13.01,50,41,0.95,US,1631415589
Kimbe,-5.5502,150.1429,32.71,53,76,2.11,PG,1631415590
Krasnaya Gora,52.9995,31.6023,11.95,79,89,0.91,RU,1631415590
Sayyan,15.1718,44.3244,17.54,40,9,0.57,YE,1631415591
Cap Malheureux,-19.9842,57.6142,22.48,71,1,2.68,MU,1631415592
Nelson Bay,-32.7167,152.15,30.16,23,0,3.93,AU,1631415593
Bestöbe,52.4994,73.0975,7.92,66,98,8.72,KZ,1631415593
Suileng,47.25,127.0833,16.34,70,6,3.14,CN,1631415594
Arrondissement de Saintes,45.6667,-0.75,15.1,68,86,3.29,FR,1631415595
San Rafael del Sur,11.8485,-86.4384,25.54,86,60,3.04,NI,1631415596
Río Gallegos,-51.6226,-69.2181,6.03,70,90,7.72,AR,1631415596
Hofn,64.2539,-15.2082,10.28,83,71,7.23,IS,1631415597
Los Llanos de Aridane,28.6585,-17.9182,21.86,83,20,1.03,ES,1631415598
Mayo,38.8876,-76.5119,22.75,77,0,1.34,US,1631415599
Buta,2.7858,24.73,19.3,94,70,0.57,CD,1631415310
Puente Grande,20.5667,-103.15,18.63,73,60,1.22,MX,1631415610
Paamiut,61.994,-49.6678,5.61,95,100,5.46,GL,1631415612
Zorritos,-3.6805,-80.6782,21.07,82,87,2.84,PE,1631415615
Salalah,17.0151,54.0924,26.15,87,92,2.6,OM,1631415617
Dunedin,-45.8742,170.5036,15.75,53,72,8.33,NZ,1631415581
Sisimiut,66.9395,-53.6735,-0.85,53,17,5.77,GL,1631415619
Avera,33.194,-82.5271,20.73,53,0,2.54,US,1631415620
Creutzwald,49.2,6.6833,13.8,99,10,0.19,FR,1631415621
Roebourne,-20.7833,117.1333,28.47,27,0,3.72,AU,1631415622
Concarneau,47.875,-3.9225,14.44,87,30,3.3,FR,1631415622
Flagstaff,35.1981,-111.6513,23.83,48,1,1.79,US,1631415333
Hua Hin,12.5707,99.9588,26.92,75,100,1.78,TH,1631415624
Lusambo,-4.9667,23.45,23.38,76,100,0.79,CD,1631415624
Deputatsky,69.3,139.9,11.66,42,68,1.91,RU,1631415625
Yulara,-25.2406,130.9889,24.34,24,0,6.99,AU,1631415626
